primary_id,sub_id,Name,Description,required_evidence
A,8.1.1,Inventory of assets,"Information, other assets associated with information and information processing facilities should be identified and an inventory of these assets should be drawn up and maintained. 
 
 Implementation Guidance 
 An organization should identify assets relevant in the lifecycle of information and document their importance. The lifecycle of information should include creation, processing, storage, transmission, deletion and destruction. Documentation should be maintained in dedicated or existing inventories as appropriate. 
 
 The asset inventory should be accurate, up to date, consistent and aligned with other inventories. 
 
 For each of the identified assets, ownership of the asset should be assigned and the classification should be identified. 
 
 Other Information 
 Inventories of assets help to ensure that effective protection takes place, and may also be required for other purposes, such as health and safety, insurance or financial (asset management) reasons. 
 
 ISO/IEC 27005[11] provides examples of assets that might need to be considered by the organization when identifying assets. The process of compiling an inventory of assets is an important prerequisite of risk management (see also ISO/IEC 27000 and ISO/IEC 27005[11]).",Asset inventory including asset criticality.
A,8.1.2,Ownership of assets,"Assets maintained in the inventory should be owned. 
 
 Implementation Guidance 
 Individuals as well as other entities having approved management responsibility for the asset lifecycle qualify to be assigned as asset owners. 
 
 A process to ensure timely assignment of asset ownership is usually implemented. Ownership should be assigned when assets are created or when assets are transferred to the organization. The asset owner should be responsible for the proper management of an asset over the whole asset lifecycle. 
 
 The asset owner should: 
 a) ensure that assets are inventoried; 
 b) ensure that assets are appropriately classified and protected; 
 c) define and periodically review access restrictions and classifications to important assets, taking into account applicable access control policies; 
 d) ensure proper handling when the asset is deleted or destroyed. 
 
 Other information 
 The identified owner can be either an individual or an entity who has approved management responsibility for controlling the whole lifecycle of an asset. The identified owner does not necessarily have any property rights to the asset. 
 
 Routine tasks may be delegated, e.g. to a custodian looking after the assets on a daily basis, but the responsibility remains with the owner. 
 
 In complex information systems, it may be useful to designate groups of assets which act together to provide a particular service. In this case the owner of this service is accountable for the delivery of the service, including the operation of its assets.",Asset inventory including asset owners. 
A,8.1.3,Acceptable use of assets,"Rules for the acceptable use of information and of assets associated with information and information processing facilities should be identified, documented and implemented. 
 
 Implementation Guidance 
 Employees and external party users using or having access to the organization's assets should be made aware of the information security requirements of the organization's information, other assets associated with information and information processing facilities and resources.",Acceptable use policy.
A,8.1.4,Return of assets,"All employees and external party users should return all of the organizational assets in their possession upon termination of their employment, contract or agreement. 
 
 Implementation Guidance 
 The termination process should be formalized to include the return of all previously issued physical and electronic assets owned by or entrusted to the organization. 
 
 In cases where an employee or external party users purchases the organization's equipment or uses their own personal equipment, procedures should be followed to ensure that all relevant information is transferred to the organization and securely erased from the equipment. 
 
 In cases where an employee or eternal party user has knowledge that is important to ongoing operations, that information should be documented and transferred to the organization. 
 
 During the notice period of termination, the organization should control unauthorized copying of relevant information (e.g. intellectual property) by terminated employees and contractors.",Exit or clearance forms for returning assets after resignation or termination of contract. 
A,8.2.1,Classification of information,"Information should be classified in terms of legal requirements, value, criticality, and sensitivity to unauthorized disclosure or modification. 
 
 Implementation Guidance 
 Classifications and associated protective controls for information should take account of business needs for sharing or restricting information, as well as legal requirements. Assets other than information can also be classified in conformance with classification of information which is stored in, processed by or otherwise handled or protected by the asset. 
 
 Owners of information assets should be accountable for their classification. 
 
 The classification scheme should include conventions for classification and criteria for review of the classification over time. The level of protection in the scheme should be assessed by analysing confidentiality, integrity and availability and any other requirements for the information considered. The scheme should be aligned to the access control policy. 
 
 Each level should be given a name that makes sense in the context of the classification scheme's application. 
 
 The scheme should be consistent across the whole organization so that everyone will classify information and related assets in the same way, have a common understanding of protection requirements and apply the appropriate protection. 
 
 Classification should be included in the organization's processes, and be consistent and coherent across the organization. Results of classification should indicate value of assets depending on their sensitivity and criticality to the organization, e.g. in terms of confidentiality, integrity and availability. Results of classification should be updated in accordance with changes of their value, sensitivity and criticality through their life-cycle. 
 
 Other information 
 Classification provides people who deal with information with a concise indication of how to handle and protect it. Creating groups of information with similar protection needs and specifying information security procedures that apply to all the information in each group facilitates this. This approach reduces the need for case-by-case risk assessment and custom design of controls. 
 
 Information can cease to be sensitive or critical after a certain period of time, for example, when the information has been made public. These aspects should be taken into account, as over-classification can lead to the implementation of unnecessary controls resulting in additional expense or on the contrary under-classification can endanger the achievement of business objectives. 
 
 An example of an information confidentiality classification scheme could be based on four levels as follows: 
 a) disclosure causes no harm; 
 b) disclosure causes minor embarrassment or minor operational inconvenience; 
 c) disclosure has a significant short term impact on operations or tactical objectives; 
 d) disclosure has a serious impact on long term strategic objectives or puts the survival of the organization at risk.",Controls and policy for information classification. 
A,8.2.2,Labeling of information,"An appropriate set of procedures for information labeling should be developed and implemented in accordance with the information classification scheme adopted by the organization. 
 
 Implementation Guidance 
 Procedures for information labelling need to cover information and its related assets in physical and electronic formats. The labelling should reflect the classification scheme established in the organization. The labels should be easily recognizable. The procedures should give guidance on where and how labels are attached in consideration of how the information is accessed or the assets are handled depending on the types of media. The procedures can define cases where labelling is omitted, e.g. labelling of non- confidential information to reduce workloads. Employees and contractors should be made aware of labelling procedures. 
 
 Output from systems containing information that is classified as being sensitive or critical should carry an appropriate classification label. 
 
 Other Information 
 Labelling of classified information is a key requirement for information sharing arrangements. Physical labels and metadata are a common form of labelling. 
 
 Labelling of information and its related assets can sometimes have negative effects. Classified assets are easier to identify and accordingly to steal by insiders or external attackers.",Controls for labeling information.
A,8.2.3,Handling of assets,"Procedures for handling assets should be developed and implemented in accordance with the information classification scheme adopted by the organization. 
 
 Implementation Guidance 
 Procedures should be drawn up for handling, processing, storing, and communicating information consistent with its classification. 
 
 The following items should be considered: 
 a) access restrictions supporting the protection requirements for each level of classification; 
 b) maintenance of a formal record of the authorized recipients of assets; 
 c) protection of temporary or permanent copies of information to a level consistent with the protection of the original information; 
 d) storage of IT assets in accordance with manufacturers' specifications; 
 e) clear marking of all copies of media for the attention of the authorized recipient. 
 
 The classification scheme used within the organization may not be equivalent to the schemes used by other organizations, even if the names for levels are similar; in addition, information moving between organizations can vary in classification depending on its context in each organization, even if their classification schemes are identical. 
 
 Agreements with other organizations that include information sharing should include procedures to identify the classification of that information and to interpret the classification labels from other organizations.",Procedure for handling assets based on classification label.
A,8.3.1,Management of removable media,"Procedures should be implemented for the management of removable media in accordance with the classification scheme adopted by the organization. 
 
 Implementation Guidance 
 The following guidelines for the management of removable media should be considered: 
 a) if no longer required, the contents of any re-usable media that are to be removed from the organization should be made unrecoverable; 
 b) where necessary and practical, authorization should be required for media removed from the organization and a record of such removals should be kept in order to maintain an audit trail; 
 c) all media should be stored in a safe, secure environment, in accordance with manufacturers' specifications; 
 d) if data confidentiality or integrity are important considerations, cryptographic techniques should be used to protect data on removable media; 
 e) to mitigate the risk of media degrading while stored data are still needed, the data should be transferred to fresh media before becoming unreadable; 
 f) multiple copies of valuable data should be stored on separate media to further reduce the risk of coincidental data damage or loss; 
 g) registration of removable media should be considered to limit the opportunity for data loss; 
 h) removable media drives should only be enabled if there is a business reason for doing so; 
 i) where there is a need to use removable media the transfer of information to such media should be monitored. 
 
 Procedures and authorization levels should be documented.",Policy for use of removable media or USB in the organization. 
A,8.3.2,Disposal of media,"Media should be disposed of securely when no longer required, using formal procedures. 
 
 Implementation Guidance 
 Formal procedures for the secure disposal of media should be established to minimize the risk of confidential information leakage to unauthorized persons. The procedures for secure disposal of media containing confidential information should be proportional to the sensitivity of that information. The following items should be considered: 
 
 a) media containing confidential information should be stored and disposed of securely, e.g. by incineration or shredding, or erasure of data for use by another application within the organization; 
 b) procedures should be in place to identify the items that might require secure disposal; 
 c) it may be easier to arrange for all media items to be collected and disposed of securely, rather than attempting to separate out the sensitive items; 
 d) many organizations offer collection and disposal services for media; care should be taken in selecting a suitable external party with adequate controls and experience; 
 e) disposal of sensitive items should be logged in order to maintain an audit trail. 
 
 When accumulating media for disposal, consideration should be given to the aggregation effect, which can cause a large quantity of non-sensitive information to become sensitive. 
 
 Other information 
 Damaged devices containing sensitive data may require a risk assessment to determine whether the items should be physically destroyed rather than sent for repair or discarded.",Sample report of secure disposal of media. 
A,8.3.3,Physical media transfer,"Media containing information should be protected against unauthorized access, misuse or corruption during transportation. 
 
 Implementation Guidance 
 The following guidelines should be considered to protect media containing information being transported: 
 a) reliable transport or couriers should be used; 
 b) a list of authorized couriers should be agreed with management; 
 c) procedures to verify the identification of couriers should be developed; 
 d) packaging should be sufficient to protect the contents from any physical damage likely to arise during transit and in accordance with any manufacturers' specifications, for example protecting against any environmental factors that may reduce the media's restoration effectiveness such as exposure to heat, moisture or electromagnetic fields; 
 e) logs should be kept, identifying the content of the media, the protection applied as well as recording the times of transfer to the transit custodians and receipt at the destination. 
 
 Other information 
 Information can be vulnerable to unauthorized access, misuse or corruption during physical transport, for instance when sending media via the postal service or via courier. In this control, media include paper documents. 
 
 When confidential information on media is not encrypted, additional physical protection of the media should be considered.",Form or process for physical transfer of media.
A,9.1.1,Access control policy,"An access control policy should be established, documented and reviewed based on business and information security requirements. 
 
 Implementation Guidance 
 Asset owners should determine appropriate access control rules, access rights and restrictions for specific user roles towards their assets, with the amount of detail and the strictness of the controls reflecting the associated information security risks. 
 
 Access controls are both logical and physical and these should be considered together. Users and service providers should be given a clear statement of the business requirements to be met by access controls. 
 
 The policy should take account of the following: 
 a) security requirements of business applications; 
 b) policies for information dissemination and authorization, e.g. the need-to-know principle and information security levels and classification of information; 
 c) consistency between the access rights and information classification policies of systems and networks; 
 d) relevant legislation and any contractual obligations regarding limitation of access to data or services; 
 e) management of access rights in a distributed and networked environment which recognizes all types of connections available; 
 f) segregation of access control roles, e.g. access request, access authorization, access administration; 
 g) requirements for formal authorization of access requests; 
 h) requirements for periodic review of access rights; 
 i) removal of access rights; 
 j) archiving of records of all significant events concerning the use and management of user identities and secret authentication information; 
 k) roles with privileged access. 
 
 Other information 
 Care should be taken when specifying access control rules to consider: 
 a) establishingrulesbasedonthepremise"Everythingisgenerallyforbiddenunlessexpresslypermitted" rather than the weaker rule "Everything is generally permitted unless expressly forbidden"; 
 b) changes in information labels that are initiated automatically by information processing facilities and those initiated at the discretion of a user; 
 c) changes in user permissions that are initiated automatically by the information system and those initiated by an administrator; 
 d) rules which require specific approval before enactment and those which do not. 
 
 Access control rules should be supported by formal procedures and defined responsibilities. 
 
 Role based access control is an approach used successfully by many organisations to link access rights with business roles. 
 
 Two of the frequent principles directing the access control policy are: 
 a) Need-to-know: you are only granted access to the information you need to perform your tasks (different tasks/roles mean different need-to-know and hence different access profile); 
 b) Need-to-use: you are only granted access to the information processing facilities (IT equipment, applications, procedures, rooms) you need to perform your task/job/role.",Access control policy.
A,9.1.2,Access to networks and network services,"Users should only be provided with access to the network and network services that they have been specifically authorized to use. 
 
 Implementation Guidance 
 A policy should be formulated concerning the use of networks and network services. This policy should cover: 
 a) the networks and network services which are allowed to be accessed; 
 b) authorization procedures for determining who is allowed to access which networks and networked services; 
 c) management controls and procedures to protect access to network connections and network services; 
 d) the means used to access networks and network services (e.g. use of VPN or wireless network); 
 e) user authentication requirements for accessing various network services; 
 f) monitoring of the use of network services. 
 
 The policy on the use of network services should be consistent with the organization's access control policy. 
 
 Other information 
 Unauthorized and insecure connections to network services can affect the whole organization. This control is particularly important for network connections to sensitive or critical business applications or to users in high-risk locations, e.g. public or external areas that are outside the organization's information security management and control.",Controls for controlling access to network or network services including wireless network such as using network access controls or VPN.
A,9.2.1,User registration and de-registration,"A formal user registration and de-registration process should be implemented to enable assignment of access rights. 
 
 Implementation Guidance 
 The process for managing user IDs should include: 
 a) using unique user IDs to enable users to be linked to and held responsible for their actions; the use of shared IDs should only be permitted where they are necessary for business or operational reasons and should be approved and documented; 
 b) immediately disabling or removing user IDs of users who have left the organization; 
 c) periodically identifying and removing or disabling redundant user IDs; 
 d) ensuring that redundant user IDs are not issued to other users. 
 
 Other information 
 Providing or revoking access to information or information processing facilities is usually a two- step procedure: 
 a) assigning and enabling, or revoking, a user ID; 
 b) providing, or revoking, access rights to such user ID.",User registration and de-registration procedure.
A,9.2.2,User access provisioning,"A formal user access provisioning process should be implemented to assign or revoke access rights for all user types to all systems and services. 
 
 Implementation Guidance 
 The provisioning process for assigning or revoking access rights granted to user IDs should include: 
 a) obtaining authorization from the owner of the information system or service for the use of the information system or service; separate approval for access rights from management may also be appropriate; 
b) verifying that the level of access granted is appropriate to the access policies and is consistent with other requirements such as segregation of duties; 
c) ensuring that access rights are not activated (e.g. by service providers) before authorization procedures are completed; 
d) maintaining a central record of access rights granted to a user ID to access information systems and services; 
e) adapting access rights of users who have changed roles or jobs and immediately removing or blocking access rights of users who have left the organization;
f) periodically reviewing access rights with owners of the information systems or services. 
 
 Other information 
 Consideration should be given to establishing user access roles based on business requirements that summarize a number of access rights into typical user access profiles. Access requests and reviews are easier managed at the level of such roles than at the level of particular rights. 
 
 Consideration should be given to including clauses in personnel contracts and service contracts that specify sanctions if unauthorized access is attempted by personnel or contractors.",Sample of access provisioning request showing the process for providing access to users. 
A,9.2.3,Management of privileged access rights,"The allocation and use of privileged access rights should be restricted and controlled. 
 
 Implementation Guidance 
 The allocation of privileged access rights should be controlled through a formal authorization process in accordance with the relevant access control policy. 
The following steps should be considered: 
 a) the privileged access rights associated with each system or process, e.g. operating system, database management system and each application and the users to whom they need to be allocated should be identified; 
 b) privileged access rights should be allocated to users on a need-to-use basis and on an event-by- event basis in line with the access control policy , i.e. based on the minimum requirement for their functional roles; 
 c) an authorization process and a record of all privileges allocated should be maintained. Privileged access rights should not be granted until the authorization process is complete; 
 d) requirements for expiry of privileged access rights should be defined; 
 e) privileged access rights should be assigned to a user ID different from those used for regular business activities. Regular business activities should not be performed from privileged ID; 
 f) the competences of users with privileged access rights should be reviewed regularly in order to verify if they are in line with their duties; 
 g) specific procedures should be established and maintained in order to avoid the unauthorized use of generic administration user IDs, according to systems' configuration capabilities; 
 h) for generic administration user IDs, the confidentiality of secret authentication information should be maintained when shared (e.g. changing passwords frequently and as soon as possible when a privileged user leaves or changes job, communicating them among privileged users with appropriate mechanisms). 
 
 Other information 
 Inappropriate use of system administration privileges (any feature or facility of an information system that enables the user to override system or application controls) is a major contributory factor to failures or breaches of systems.",Privileged access rights policy.
A,9.2.4,Management of secret authentication information of users,"The allocation of secret authentication information should be controlled through a formal management process. 
 
 Implementation Guidance 
 The process should include the following requirements: 
 a) users should be required to sign a statement to keep personal secret authentication information confidential and to keep group (i.e. shared) secret authentication information solely within the members of the group; this signed statement may be included in the terms and conditions of employment; 
 b) when users are required to maintain their own secret authentication information they should be provided initially with secure temporary secret authentication information, which they are forced to change on first use; 
 c) procedures should be established to verify the identity of a user prior to providing new, replacement or temporary secret authentication information; 
 d) temporary secret authentication information should be given to users in a secure manner; the use of external parties or unprotected (clear text) electronic mail messages should be avoided; 
 e) temporary secret authentication information should be unique to an individual and should not be guessable; 
 f) users should acknowledge receipt of secret authentication information; 
 g) default vendor secret authentication information should be altered following installation of systems or software. 
 
 Other information 
 Passwords are a commonly used type of secret authentication information and are a common means of verifying a user's identity. Other types of secret authentication information are cryptographic keys and other data stored on hardware tokens (e.g. smart cards) that produce authentication codes.",Password policy.
A,9.2.5,Review of user access rights,"Asset owners should review users' access rights at regular intervals. 
 
 Implementation Guidance 
 The review of access rights should consider the following: 
a) users' access rights should be reviewed at regular interval) users' access rights should be reviewed at regular intervals and after any changes, such as promotion, demotion or termination of employment; 
b) user access rights should be reviewed and re-allocated when moving from one role to another within the same organization; 
c) authorizations for privileged access rights should be reviewed at more frequent intervals; 
d) privilege allocations should be checked at regular intervals to ensure that unauthorized privileges have not been obtained; 
e) changes to privileged accounts should be logged for periodic review. 
 ",Report of review of access rights including logical and physical access. 
A,9.2.6,Removal or adjustment of access rights,"The access rights of all employees and external party users to information and information processing facilities should be removed upon termination of their employment, contract or agreement, or adjusted upon change. 
 
 Implementation Guidance 
 Upon termination, the access rights of an individual to information and assets associated with information processing facilities and services should be removed or suspended. This will determine whether it is necessary to remove access rights. Changes of employment should be reflected in removal of all access rights that were not approved for the new employment. The access rights that should be removed or adjusted include those of physical and logical access. Removal or adjustment can be done by removal, revocation or replacement of keys, identification cards, information processing facilities or subscriptions. Any documentation that identifies access rights of employees and contractors should reflect the removal or adjustment of access rights. If a departing employee or external party user has known passwords for user IDs remaining active, these should be changed upon termination or change of employment, contract or agreement. 
 
 Access rights for information and assets associated with information processing facilities should be reduced or removed before the employment terminates or changes, depending on the evaluation of risk factors such as: 
 a) whether the termination or change is initiated by the employee, the external party user or by management, and the reason for termination; 
 b) the current responsibilities of the employee, external party user or any other user; c) the value of the assets currently accessible. 
 
 Other information 
 In certain circumstances access rights may be allocated on the basis of being available to more people than the departing employee or external party user, e.g. group IDs. In such circumstances, departing individuals should be removed from any group access lists and arrangements should be made to advise all other employees and external party users involved to no longer share this information with the person departing. 
 
 In cases of management-initiated termination, disgruntled employees or external party users can deliberately corrupt information or sabotage information processing facilities. In cases of persons resigning or being dismissed, they may be tempted to collect information for future use.",Sample of access removal request showing the process for removing or adjusting access. 
A,9.3.1,Use of secret authentication information,"Users should be required to follow the organization's practices in the use of secret authentication information. 
 
 Implementation Guidance 
 All users should be advised to: 
 a) keep secret authentication) keep secret authentication information confidential, ensuring that it is not divulged to any other parties, including people of authority; 
 b) avoid keeping a record (e.g. on paper, software file or hand-held device) of secret authentication information, unless this can be stored securely and the method of storing has been approved (e.g. 24 password vault); 
 c) change secret authentication information whenever there is any indication of its possible compromise; 
 d) when passwords are used as secret authentication information, select quality passwords with sufficient minimum length which are: 
 1) easy to remember; 
 2) not based on anything somebody else could easily guess or obtain using person related information, e.g. names, telephone numbers and dates of birth etc.; 
 3) not vulnerable to dictionary attacks (i.e. do not consist of words included in dictionaries); 
 4) free of consecutive identical, all-numeric or all-alphabetic characters; 
 5) if temporary, changed at the first log-on; 
 e) not share individual user's secret authentication information; 
 f) ensure proper protection of passwords when passwords are used as secret authentication information in automated log-on procedures and are stored; 
 g) not use the same secret authentication information for business and non-business purposes. 
 
 Other information 
 Provision of Single Sign On (SSO) or other secret authentication information management tools reduces the amount of secret authentication information that users are required to protect and thus can increase the effectiveness of this control. However, these tools can also increase the impact of disclosure of secret authentication information.",Password policy and evidence of using any multi-factor authentication or Single Sign On (SSO). 
A,9.4.1,Information access restriction,"Access to information and application system functions should be restricted in accordance with the access control policy. 
 
 Implementation Guidance 
 Restrictions to access should be based on individual business application requirements and in accordance with the defined access control policy. 
 
 The following should be considered in order to support access restriction requirements: 
 a) providing menus to control access to application system functions; 
 b) controlling which data can be accessed by a particular user; 
 c) controlling the access rights of users, e.g. read, write, delete and execute; 
 d) controlling the access rights of other applications; 
 e) limiting the information contained in outputs; 
 f) providing physical or logical access controls for the isolation of sensitive applications, application data, or systems.",Access control policy.
A,9.4.2,Secure log-on procedures,"Where required by the access control policy, access to systems and applications should be controlled by a secure log-on procedure. 
 
 Implementation Guidance 
 Where strong authentication and identity verification is required, authentication methods alternative to passwords, such as cryptographic means, smart cards, tokens or biometric means, should be used. 
 
 The procedure for logging into a system or application should be designed to minimize the opportunity for unauthorized access. The log-on procedure should therefore disclose the minimum of information about the system or application, in order to avoid providing an unauthorized user with any unnecessary assistance. A good log-on procedure should: 
a) not display system or application identifiers until the log-on process has been successfully completed; 
b) display a general notice warning that the computer should only be accessed by authorized users; 
c) not provide help messages during the log-on procedure that would aid an unauthorized user; 
d) validate the log-on information only on completion of all input data. If an error condition arises, the system should not indicate which part of the data is correct or incorrect; 
e) protect against brute force log-on attempts; 
f) log unsuccessful and successful attempts; 
g) raise a security event if a potential attempted or successful breach of log-on controls is detected; h) display the following information on completion of a successful log-on: 
 1) date and time of the previous successful log-on; 
 2) details of any unsuccessful log-on attempts since the last successful log-on; 
i) not display a password being entered; 
j) not transmit passwords in clear text over a network; 
k) terminate inactive sessions after a defined period of inactivity, especially in high risk locations such as public or external areas outside the organization's security management or on mobile devices; 
l) restrict connection times to provide additional security for high-risk applications and reduce the window of opportunity for unauthorized access. 
 
 Other information 
 Passwords are a common way to provide identification and authentication based on a secret that only the user knows. The same can also be achieved with cryptographic means and authentication protocols. The strength of user authentication should be appropriate for the classification of the information to be accessed. 
 
 If passwords are transmitted in clear text during the log-on session over a network, they can be captured by a network "sniffer" program.",Warning banner on systems and password policy.
A,9.4.3,Password management system,"Password management systems should be interactive and shall ensure quality passwords. 
 
 Implementation Guidance 
 A password management system should: 
 a) enforce the use of individual user IDs and passwords to maintain accountability; 
 b) allow users to select and change their own passwords and include a confirmation procedure to allow for input errors; 
 c) enforce a choice of quality passwords; 
 d) force users to change their passwords at the first log-on; 
 e) enforce regular password changes and as needed; 
 f) maintain a record of previously used passwords and prevent re-use; 
 g) not display passwords on the screen when being entered; 
 h) store password files separately from application system data; 
 i) store and transmit passwords in protected form. 
 
 Other Information 
 Some applications require user passwords to be assigned by an independent authority; in such cases, points b), d) and e) of the above guidance do not apply. In most cases the passwords are selected and maintained by users.",Password policy and evidence of using any multi-factor authentication.
A,9.4.4,Use of privileged utility programs,"The use of utility programs that might be capable of overriding system and application controls should be restricted and tightly controlled. 
 
 Implementation Guidance 
 The following guidelines for the use of utility programs that might be capable of overriding system and application controls should be considered: 
 a) use of identification, authentication and authorization procedures for utility programs; 
 b) segregation of utility programs from applications software; 
 c) limitation of the use of utility programs to the minimum practical number of trusted, authorized users; 
 d) authorization for ad hoc use of utility programs; 
 e) limitation of the availability of utility programs, e.g. for the duration of an authorized change; 
 f) logging of all use of utility programs; 
 g) defining and documenting of authorization levels for utility programs; 
 h) removal or disabling of all unnecessary utility programs; 
 i) not making utility programs available to users who have access to applications on systems where segregation of duties is required. 
 
 Other information 
 Most computer installations have one or more utility programs that might be capable of overriding system and application controls.",List of approved utility programs. 
A,9.4.5,Access control to program source code,"Access to program source code should be restricted. 
 
Implementation Guidance 
Access to program source code and associated items (such as designs, specifications, verification plans and validation plans) should be strictly controlled, in order to prevent the introduction of unauthorized functionality and to avoid unintentional changes as well as to maintain the confidentiality of valuable intellectual property. For program source code, this can be achieved by controlled central storage of such code, preferably in program source libraries. The following guidelines should then be considered to control access to such program source libraries in order to reduce the potential for corruption of computer programs: 
 a) where possible, program source libraries should not be held in operational systems; 
 b) the program source code and the program source libraries should be managed according to established procedures; 
 c) support personnel should not have unrestricted access to program source libraries; 
 d) the updating of program source libraries and associated items and the issuing of program sources to programmers should only be performed after appropriate authorization has been received; 
 e) program listings should be held in a secure environment; 
 f) an audit log should be maintained of all accesses to program source libraries; 
 g) maintenance and copying of program source libraries should be subject to strict change control procedures. 
 
 If the program source code is intended to be published, additional controls to help getting assurance on its integrity (e.g. digital signature) should be considered.",Evidence of implementing access control to access program source code. 
A,10.1.1,Policy on the use of cryptographic controls,"A policy on the use of cryptographic controls for protection of information should be developed and implemented. 
 
Implementation Guidance 
When developing a cryptographic policy the following should be considered: 
a) the management approach towards the use of cryptographic controls across the organization, including the general principles under which business information should be protected; 
b) based on a risk assessment, the required level of protection should be identified taking into account the type, strength and quality of the encryption algorithm required; 
c) the use of encryption for protection of information transported by mobile or removable media devices or across communication lines; 
d) the approach to key management, including methods to deal with the protection of cryptographic keys and the recovery of encrypted information in the case of lost, compromised or damaged keys; 
e) roles and responsibilities, e.g. who is responsible for: 
 1) the implementation of the policy; 
 2) the key management, including key generation; 
f) the standards to be adopted for effective implementation throughout the organization (which solution is used for which business processes); 
g) the impact of using encrypted information on controls that rely upon content inspection (e.g. malware detection). 
 
When implementing the organization's cryptographic policy, consideration should be given to the regulations and national restrictions that might apply to the use of cryptographic techniques in different parts of the world and to the issues of trans-border flow of encrypted information. 
 
 Cryptographic controls can be used to achieve different information security objectives, e.g.: 
a) confidentiality: using encryption of information to protect sensitive or critical information, either stored or transmitted; 
b) integrity/authenticity: using digital signatures or message authentication codes to verify the authenticity or integrity of stored or transmitted sensitive or critical information; 
c) non-repudiation: using cryptographic techniques to provide evidence of the occurrence or non- occurrence of an event or action; 
d) authentication: using cryptographic techniques to authenticate users and other system entities requesting access to or transacting with system users, entities and resources. 
 
Other information 
Making a decision as to whether a cryptographic solution is appropriate should be seen as part of the wider process of risk assessment and selection of controls. This assessment can then be used to determine whether a cryptographic control is appropriate, what type of control should be applied and for what purpose and business processes. 
 
 A policy on the use of cryptographic controls is necessary to maximize the benefits and minimize the risks of using cryptographic techniques and to avoid inappropriate or incorrect use. Specialist advice should be sought in selecting appropriate cryptographic controls to meet the information security policy objectives.",Cryptographic controls used. 
A,10.1.2,Key Management,"A policy on the use, protection and lifetime of cryptographic keys should be developed and implemented through their whole lifecycle. 
 
 Implementation guidance 
 The policy should include requirements for managing cryptographic keys though their whole lifecycle including generating, storing, archiving, retrieving, distributing, retiring and destroying keys. 
 
 Cryptographic algorithms, key lengths and usage practices should be selected according to best practice. Appropriate key management requires secure processes for generating, storing, archiving, retrieving, distributing, retiring and destroying cryptographic keys. 
 
 All cryptographic keys should be protected against modification and loss. In addition, secret and private keys need protection against unauthorized use as well as disclosure. Equipment used to generate, store and archive keys should be physically protected. 
 
 A key management system should be based on an agreed set of standards, procedures and secure methods for: 
 a) generating keys for different cryptographic systems and different applications; 
 b) issuing and obtaining public key certificates; 
 c) distributing keys to intended entities, including how keys should be activated when received; 
 d) storing keys, including how authorized users obtain access to keys; 
 e) changing or updating keys including rules on when keys should be changed and how this will be done; 
 f) dealing with compromised keys; 
 g) revoking keys including how keys should be withdrawn or deactivated, e.g. when keys have been compromised or when a user leaves an organization (in which case keys should also be archived); 
 h) recovering keys that are lost or corrupted; 
 i) backing up or archiving keys; 
 j) destroying keys; 
 k) logging and auditing of key management related activities. 
 
 In order to reduce the likelihood of improper use, activation and deactivation dates for keys should be defined so that the keys can only be used for the period of time defined in the associated key management policy. 
 
 In addition to securely managing secret and private keys, the authenticity of public keys should also be considered. This authentication process can be done using public key certificates, which are normally issued by a certification authority, which should be a recognized organization with suitable controls and procedures in place to provide the required degree of trust. 
 
 The contents of service level agreements or contracts with external suppliers of cryptographic services, e.g. with a certification authority, should cover issues of liability, reliability of services and response times for the provision of services. 
 
Other information 
The management of cryptographic keys is essential to the effective use of cryptographic techniques. ISO/IEC 11770[2][3][4] provides further information on key management. Cryptographic techniques can also be used to protect cryptographic keys. Procedures may need to be considered for handling legal requests for access to cryptographic keys, e.g. encrypted information can be required to be made available in an unencrypted form as evidence in a court case.",Controls for protecting cryptographic keys. 
